id;nombreIndicador;codigoIndicador;unidadMedidaIndicador;valorIndicador;fechaIndicador
968;EURO;EURO;Pesos;872.47;2021-07-05
969;DÓLAR OBSERVADO;DOLAR;Pesos;735.06;2021-07-05
970;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.5;2021-07-05
971;BITCOIN;BITCOIN;Dólar;33536.88;2021-07-01
972;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.24;2021-07-06
973;EURO;EURO;Pesos;871.9;2021-07-06
974;DÓLAR OBSERVADO;DOLAR;Pesos;734.66;2021-07-06
975;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.5;2021-07-06
976;BITCOIN;BITCOIN;Dólar;35309.3;2021-07-04
977;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.3;2021-07-07
978;EURO;EURO;Pesos;878.86;2021-07-07
979;DÓLAR OBSERVADO;DOLAR;Pesos;743.25;2021-07-07
980;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.5;2021-07-07
981;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.21;2021-07-08
982;EURO;EURO;Pesos;887.29;2021-07-08
983;DÓLAR OBSERVADO;DOLAR;Pesos;751.36;2021-07-08
984;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.5;2021-07-08
985;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.27;2021-07-09
986;EURO;EURO;Pesos;892.02;2021-07-09
987;DÓLAR OBSERVADO;DOLAR;Pesos;753.67;2021-07-09
988;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.5;2021-07-09
989;BITCOIN;BITCOIN;Dólar;33839.04;2021-07-07
990;UNIDAD DE FOMENTO (UF);UF;Pesos;29766.28;2021-08-09
991;UNIDAD DE FOMENTO (UF);UF;Pesos;29765.32;2021-08-08
992;UNIDAD DE FOMENTO (UF);UF;Pesos;29764.36;2021-08-07
993;UNIDAD DE FOMENTO (UF);UF;Pesos;29763.4;2021-08-06
994;UNIDAD DE FOMENTO (UF);UF;Pesos;29762.44;2021-08-05
995;UNIDAD DE FOMENTO (UF);UF;Pesos;29761.48;2021-08-04
996;UNIDAD DE FOMENTO (UF);UF;Pesos;29760.52;2021-08-03
997;UNIDAD DE FOMENTO (UF);UF;Pesos;29759.56;2021-08-02
998;UNIDAD DE FOMENTO (UF);UF;Pesos;29758.6;2021-08-01
999;UNIDAD DE FOMENTO (UF);UF;Pesos;29757.64;2021-07-31
1000;UNIDAD DE FOMENTO (UF);UF;Pesos;29756.68;2021-07-30
1001;UNIDAD DE FOMENTO (UF);UF;Pesos;29755.72;2021-07-29
1002;UNIDAD DE FOMENTO (UF);UF;Pesos;29754.76;2021-07-28
1003;UNIDAD DE FOMENTO (UF);UF;Pesos;29753.8;2021-07-27
1004;UNIDAD DE FOMENTO (UF);UF;Pesos;29752.84;2021-07-26
1005;UNIDAD DE FOMENTO (UF);UF;Pesos;29751.88;2021-07-25
1006;UNIDAD DE FOMENTO (UF);UF;Pesos;29750.92;2021-07-24
1007;UNIDAD DE FOMENTO (UF);UF;Pesos;29749.97;2021-07-23
1008;UNIDAD DE FOMENTO (UF);UF;Pesos;29749.01;2021-07-22
1009;UNIDAD DE FOMENTO (UF);UF;Pesos;29748.05;2021-07-21
1010;UNIDAD DE FOMENTO (UF);UF;Pesos;29747.09;2021-07-20
1011;UNIDAD DE FOMENTO (UF);UF;Pesos;29746.13;2021-07-19
1012;UNIDAD DE FOMENTO (UF);UF;Pesos;29745.17;2021-07-18
1013;UNIDAD DE FOMENTO (UF);UF;Pesos;29744.21;2021-07-17
1014;UNIDAD DE FOMENTO (UF);UF;Pesos;29743.25;2021-07-16
1015;UNIDAD DE FOMENTO (UF);UF;Pesos;29742.29;2021-07-15
1016;UNIDAD DE FOMENTO (UF);UF;Pesos;29741.33;2021-07-14
1017;UNIDAD DE FOMENTO (UF);UF;Pesos;29740.38;2021-07-13
1018;UNIDAD DE FOMENTO (UF);UF;Pesos;29739.42;2021-07-12
1019;UNIDAD DE FOMENTO (UF);UF;Pesos;29738.46;2021-07-11
1020;UNIDAD DE FOMENTO (UF);UF;Pesos;29737.5;2021-07-10
1021;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.21;2021-07-12
1022;EURO;EURO;Pesos;889.09;2021-07-12
1023;DÓLAR OBSERVADO;DOLAR;Pesos;748.7;2021-07-12
1024;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.5;2021-07-12
1025;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30997.16;2021-08-09
1026;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30993.77;2021-08-08
1027;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30990.37;2021-08-07
1028;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30986.97;2021-08-06
1029;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30983.57;2021-08-05
1030;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30980.17;2021-08-04
1031;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30976.77;2021-08-03
1032;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30973.38;2021-08-02
1033;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30969.98;2021-08-01
1034;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30966.58;2021-07-31
1035;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30963.19;2021-07-30
1036;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30959.79;2021-07-29
1037;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30956.4;2021-07-28
1038;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30953;2021-07-27
1039;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30949.61;2021-07-26
1040;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30946.21;2021-07-25
1041;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30942.82;2021-07-24
1042;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30939.43;2021-07-23
1043;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30936.03;2021-07-22
1044;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30932.64;2021-07-21
1045;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30929.25;2021-07-20
1046;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30925.86;2021-07-19
1047;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30922.47;2021-07-18
1048;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30919.08;2021-07-17
1049;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30915.68;2021-07-16
1050;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30912.29;2021-07-15
1051;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30908.9;2021-07-14
1052;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30905.51;2021-07-13
1053;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30902.13;2021-07-12
1054;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30898.74;2021-07-11
1055;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;30895.35;2021-07-10
1056;INDICE DE PRECIOS AL CONSUMIDOR (IPC);IPC;Porcentaje;0.1;2021-06-01
1057;UNIDAD TRIBUTARIA MENSUAL (UTM);UTM;Pesos;52213;2021-08-01
1058;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.3;2021-07-13
1059;EURO;EURO;Pesos;882.26;2021-07-13
1060;DÓLAR OBSERVADO;DOLAR;Pesos;744.1;2021-07-13
1061;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.5;2021-07-13
1062;BITCOIN;BITCOIN;Dólar;33515.57;2021-07-10
1063;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.25;2021-07-14
1064;EURO;EURO;Pesos;879.96;2021-07-14
1065;DÓLAR OBSERVADO;DOLAR;Pesos;746.56;2021-07-14
1066;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.5;2021-07-14
1067;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.25;2021-07-15
1068;EURO;EURO;Pesos;884.91;2021-07-15
1069;DÓLAR OBSERVADO;DOLAR;Pesos;747.93;2021-07-15
1070;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.75;2021-07-15
1071;BITCOIN;BITCOIN;Dólar;32686.56;2021-07-13
1072;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.22;2021-07-19
1073;EURO;EURO;Pesos;890.19;2021-07-19
1074;DÓLAR OBSERVADO;DOLAR;Pesos;754.17;2021-07-19
1075;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.75;2021-07-19
1076;BITCOIN;BITCOIN;Dólar;31421.25;2021-07-16
1077;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.26;2021-07-20
1078;EURO;EURO;Pesos;896.41;2021-07-20
1079;DÓLAR OBSERVADO;DOLAR;Pesos;759.71;2021-07-20
1080;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.75;2021-07-20
1081;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.17;2021-07-21
1082;EURO;EURO;Pesos;894.34;2021-07-21
1083;DÓLAR OBSERVADO;DOLAR;Pesos;758.85;2021-07-21
1084;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.75;2021-07-21
1085;BITCOIN;BITCOIN;Dólar;30815.94;2021-07-19
1086;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.22;2021-07-22
1087;EURO;EURO;Pesos;890.98;2021-07-22
1088;DÓLAR OBSERVADO;DOLAR;Pesos;755.37;2021-07-22
1089;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.75;2021-07-22
1090;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.23;2021-07-23
1091;EURO;EURO;Pesos;883.83;2021-07-23
1092;DÓLAR OBSERVADO;DOLAR;Pesos;750.81;2021-07-23
1093;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.75;2021-07-23
1094;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.27;2021-07-26
1095;EURO;EURO;Pesos;892.7;2021-07-26
1096;DÓLAR OBSERVADO;DOLAR;Pesos;758.44;2021-07-26
1097;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.75;2021-07-26
1098;BITCOIN;BITCOIN;Dólar;32297.89;2021-07-22
1099;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.31;2021-07-27
1100;EURO;EURO;Pesos;902.26;2021-07-27
1101;DÓLAR OBSERVADO;DOLAR;Pesos;764.21;2021-07-27
1102;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.75;2021-07-27
1103;BITCOIN;BITCOIN;Dólar;35365.2;2021-07-25
1104;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.44;2021-07-28
1105;EURO;EURO;Pesos;900.2;2021-07-28
1106;DÓLAR OBSERVADO;DOLAR;Pesos;761.03;2021-07-28
1107;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.75;2021-07-28
1108;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.42;2021-07-29
1109;EURO;EURO;Pesos;906.11;2021-07-29
1110;DÓLAR OBSERVADO;DOLAR;Pesos;767.29;2021-07-29
1111;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.75;2021-07-29
1112;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.38;2021-07-30
1113;EURO;EURO;Pesos;901.83;2021-07-30
1114;DÓLAR OBSERVADO;DOLAR;Pesos;758.53;2021-07-30
1115;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.75;2021-07-30
1116;BITCOIN;BITCOIN;Dólar;40002.53;2021-07-28
1117;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.45;2021-08-02
1118;TASA DE DESEMPLEO;TASA_DESEMPLEO;Porcentaje;9.5;2021-06-01
1119;EURO;EURO;Pesos;901.24;2021-08-02
1120;DÓLAR OBSERVADO;DOLAR;Pesos;760.2;2021-08-02
1121;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.75;2021-08-02
1122;BITCOIN;BITCOIN;Dólar;41659.06;2021-07-31
1123;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.4;2021-08-03
1124;EURO;EURO;Pesos;904.05;2021-08-03
1125;IMACEC;IMACEC;Porcentaje;20.1;2021-06-01
1126;DÓLAR OBSERVADO;DOLAR;Pesos;761.39;2021-08-03
1127;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.75;2021-08-03
1128;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.39;2021-08-04
1129;EURO;EURO;Pesos;918.79;2021-08-04
1130;DÓLAR OBSERVADO;DOLAR;Pesos;774.54;2021-08-04
1131;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.75;2021-08-04
1132;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.32;2021-08-05
1133;EURO;EURO;Pesos;918.02;2021-08-05
1134;DÓLAR OBSERVADO;DOLAR;Pesos;775.54;2021-08-05
1135;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.75;2021-08-05
1136;BITCOIN;BITCOIN;Dólar;38138;2021-08-03
1137;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.28;2021-08-06
1138;EURO;EURO;Pesos;919.38;2021-08-06
1139;DÓLAR OBSERVADO;DOLAR;Pesos;776.69;2021-08-06
1140;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.75;2021-08-06
1141;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.3;2021-08-09
1142;EURO;EURO;Pesos;922.62;2021-08-09
1143;DÓLAR OBSERVADO;DOLAR;Pesos;784.5;2021-08-09
1144;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.75;2021-08-09
1145;INDICE DE PRECIOS AL CONSUMIDOR (IPC);IPC;Porcentaje;0.8;2021-07-01
1146;UNIDAD TRIBUTARIA MENSUAL (UTM);UTM;Pesos;52631;2021-09-01
1147;BITCOIN;BITCOIN;Dólar;42825.95;2021-08-06
1148;UNIDAD DE FOMENTO (UF);UF;Pesos;30004.41;2021-09-09
1149;UNIDAD DE FOMENTO (UF);UF;Pesos;29996.7;2021-09-08
1150;UNIDAD DE FOMENTO (UF);UF;Pesos;29988.99;2021-09-07
1151;UNIDAD DE FOMENTO (UF);UF;Pesos;29981.28;2021-09-06
1152;UNIDAD DE FOMENTO (UF);UF;Pesos;29973.58;2021-09-05
1153;UNIDAD DE FOMENTO (UF);UF;Pesos;29965.87;2021-09-04
1154;UNIDAD DE FOMENTO (UF);UF;Pesos;29958.17;2021-09-03
1155;UNIDAD DE FOMENTO (UF);UF;Pesos;29950.47;2021-09-02
1156;UNIDAD DE FOMENTO (UF);UF;Pesos;29942.78;2021-09-01
1157;UNIDAD DE FOMENTO (UF);UF;Pesos;29935.08;2021-08-31
1158;UNIDAD DE FOMENTO (UF);UF;Pesos;29927.39;2021-08-30
1159;UNIDAD DE FOMENTO (UF);UF;Pesos;29919.7;2021-08-29
1160;UNIDAD DE FOMENTO (UF);UF;Pesos;29912.01;2021-08-28
1161;UNIDAD DE FOMENTO (UF);UF;Pesos;29904.32;2021-08-27
1162;UNIDAD DE FOMENTO (UF);UF;Pesos;29896.63;2021-08-26
1163;UNIDAD DE FOMENTO (UF);UF;Pesos;29888.95;2021-08-25
1164;UNIDAD DE FOMENTO (UF);UF;Pesos;29881.27;2021-08-24
1165;UNIDAD DE FOMENTO (UF);UF;Pesos;29873.59;2021-08-23
1166;UNIDAD DE FOMENTO (UF);UF;Pesos;29865.91;2021-08-22
1167;UNIDAD DE FOMENTO (UF);UF;Pesos;29858.23;2021-08-21
1168;UNIDAD DE FOMENTO (UF);UF;Pesos;29850.56;2021-08-20
1169;UNIDAD DE FOMENTO (UF);UF;Pesos;29842.89;2021-08-19
1170;UNIDAD DE FOMENTO (UF);UF;Pesos;29835.22;2021-08-18
1171;UNIDAD DE FOMENTO (UF);UF;Pesos;29827.55;2021-08-17
1172;UNIDAD DE FOMENTO (UF);UF;Pesos;29819.89;2021-08-16
1173;UNIDAD DE FOMENTO (UF);UF;Pesos;29812.22;2021-08-15
1174;UNIDAD DE FOMENTO (UF);UF;Pesos;29804.56;2021-08-14
1175;UNIDAD DE FOMENTO (UF);UF;Pesos;29796.9;2021-08-13
1176;UNIDAD DE FOMENTO (UF);UF;Pesos;29789.24;2021-08-12
1177;UNIDAD DE FOMENTO (UF);UF;Pesos;29781.59;2021-08-11
1178;UNIDAD DE FOMENTO (UF);UF;Pesos;29773.93;2021-08-10
1179;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.28;2021-08-10
1180;EURO;EURO;Pesos;924.94;2021-08-10
1181;DÓLAR OBSERVADO;DOLAR;Pesos;787.4;2021-08-10
1182;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.75;2021-08-10
1183;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;31108.31;2021-09-09
1184;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;31104.71;2021-09-08
1185;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;31101.12;2021-09-07
1186;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;31097.53;2021-09-06
1187;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;31093.94;2021-09-05
1188;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;31090.35;2021-09-04
1189;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;31086.76;2021-09-03
1190;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;31083.17;2021-09-02
1191;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;31079.59;2021-09-01
1192;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;31076;2021-08-31
1193;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;31072.41;2021-08-30
1194;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;31068.82;2021-08-29
1195;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;31065.23;2021-08-28
1196;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;31061.65;2021-08-27
1197;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;31058.06;2021-08-26
1198;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;31054.48;2021-08-25
1199;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;31050.89;2021-08-24
1200;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;31047.31;2021-08-23
1201;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;31043.72;2021-08-22
1202;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;31040.14;2021-08-21
1203;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;31036.55;2021-08-20
1204;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;31032.97;2021-08-19
1205;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;31029.39;2021-08-18
1206;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;31025.8;2021-08-17
1207;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;31022.22;2021-08-16
1208;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;31018.64;2021-08-15
1209;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;31015.06;2021-08-14
1210;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;31011.48;2021-08-13
1211;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;31007.9;2021-08-12
1212;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;31004.32;2021-08-11
1213;INDICE DE VALOR PROMEDIO (IVP);IVP;Pesos;31000.74;2021-08-10
1214;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.24;2021-08-11
1215;EURO;EURO;Pesos;914.51;2021-08-11
1216;DÓLAR OBSERVADO;DOLAR;Pesos;780.08;2021-08-11
1217;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.75;2021-08-11
1218;BITCOIN;BITCOIN;Dólar;46333.46;2021-08-09
1219;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.31;2021-08-12
1220;EURO;EURO;Pesos;907.71;2021-08-12
1221;DÓLAR OBSERVADO;DOLAR;Pesos;773.01;2021-08-12
1222;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.75;2021-08-12
1223;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.3;2021-08-13
1224;EURO;EURO;Pesos;906.7;2021-08-13
1225;DÓLAR OBSERVADO;DOLAR;Pesos;772.78;2021-08-13
1226;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.75;2021-08-13
1227;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.28;2021-08-16
1228;EURO;EURO;Pesos;913.35;2021-08-16
1229;DÓLAR OBSERVADO;DOLAR;Pesos;774.25;2021-08-16
1230;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.75;2021-08-16
1231;BITCOIN;BITCOIN;Dólar;44417.78;2021-08-12
1232;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.33;2021-08-17
1233;EURO;EURO;Pesos;923.54;2021-08-17
1234;DÓLAR OBSERVADO;DOLAR;Pesos;784.18;2021-08-17
1235;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.75;2021-08-17
1236;BITCOIN;BITCOIN;Dólar;47056.41;2021-08-15
1237;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.27;2021-08-18
1238;EURO;EURO;Pesos;924.83;2021-08-18
1239;DÓLAR OBSERVADO;DOLAR;Pesos;789.62;2021-08-18
1240;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.75;2021-08-18
1241;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.19;2021-08-19
1242;EURO;EURO;Pesos;923.46;2021-08-19
1243;DÓLAR OBSERVADO;DOLAR;Pesos;787.71;2021-08-19
1244;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.75;2021-08-19
1245;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.09;2021-08-20
1246;EURO;EURO;Pesos;922.44;2021-08-20
1247;DÓLAR OBSERVADO;DOLAR;Pesos;789.98;2021-08-20
1248;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.75;2021-08-20
1249;BITCOIN;BITCOIN;Dólar;44777.86;2021-08-18
1250;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.03;2021-08-23
1251;EURO;EURO;Pesos;919.69;2021-08-23
1252;DÓLAR OBSERVADO;DOLAR;Pesos;786.43;2021-08-23
1253;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.75;2021-08-23
1254;BITCOIN;BITCOIN;Dólar;48932.02;2021-08-21
1255;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.1;2021-08-24
1256;EURO;EURO;Pesos;920.01;2021-08-24
1257;DÓLAR OBSERVADO;DOLAR;Pesos;783.3;2021-08-24
1258;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.75;2021-08-24
1259;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.22;2021-08-25
1260;EURO;EURO;Pesos;919.23;2021-08-25
1261;DÓLAR OBSERVADO;DOLAR;Pesos;782.17;2021-08-25
1262;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.75;2021-08-25
1263;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.25;2021-08-26
1264;EURO;EURO;Pesos;921.75;2021-08-26
1265;DÓLAR OBSERVADO;DOLAR;Pesos;783.03;2021-08-26
1266;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.75;2021-08-26
1267;BITCOIN;BITCOIN;Dólar;47744.58;2021-08-24
1268;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.25;2021-08-27
1269;EURO;EURO;Pesos;922.62;2021-08-27
1270;DÓLAR OBSERVADO;DOLAR;Pesos;785.06;2021-08-27
1271;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.75;2021-08-27
1272;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.23;2021-08-30
1273;EURO;EURO;Pesos;925.21;2021-08-30
1274;DÓLAR OBSERVADO;DOLAR;Pesos;784.39;2021-08-30
1275;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.75;2021-08-30
1276;BITCOIN;BITCOIN;Dólar;49056.86;2021-08-27
1277;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.27;2021-08-31
1278;EURO;EURO;Pesos;920.21;2021-08-31
1279;DÓLAR OBSERVADO;DOLAR;Pesos;779.97;2021-08-31
1280;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;0.75;2021-08-31
1281;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.27;2021-09-01
1282;TASA DE DESEMPLEO;TASA_DESEMPLEO;Porcentaje;8.93;2021-07-01
1283;EURO;EURO;Pesos;915.48;2021-09-01
1284;DÓLAR OBSERVADO;DOLAR;Pesos;775.14;2021-09-01
1285;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;1.5;2021-09-01
1286;BITCOIN;BITCOIN;Dólar;47074.77;2021-08-30
1287;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.32;2021-09-02
1288;EURO;EURO;Pesos;908.67;2021-09-02
1289;IMACEC;IMACEC;Porcentaje;18.1;2021-07-01
1290;DÓLAR OBSERVADO;DOLAR;Pesos;767.1;2021-09-02
1291;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;1.5;2021-09-02
1292;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.23;2021-09-03
1293;EURO;EURO;Pesos;912.11;2021-09-03
1294;DÓLAR OBSERVADO;DOLAR;Pesos;768.36;2021-09-03
1295;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;1.5;2021-09-03
1296;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.25;2021-09-06
1297;EURO;EURO;Pesos;911.45;2021-09-06
1298;DÓLAR OBSERVADO;DOLAR;Pesos;766.53;2021-09-06
1299;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;1.5;2021-09-06
1300;BITCOIN;BITCOIN;Dólar;49329.01;2021-09-02
1301;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.27;2021-09-07
1302;EURO;EURO;Pesos;914.23;2021-09-07
1303;DÓLAR OBSERVADO;DOLAR;Pesos;770.33;2021-09-07
1304;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;1.5;2021-09-07
1305;BITCOIN;BITCOIN;Dólar;51769.06;2021-09-05
1306;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.28;2021-09-08
1307;EURO;EURO;Pesos;921.4;2021-09-08
1308;DÓLAR OBSERVADO;DOLAR;Pesos;777.94;2021-09-08
1309;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;1.5;2021-09-08
1310;LIBRA DE COBRE;LIBRA_COBRE;Dólar;4.23;2021-09-09
1311;EURO;EURO;Pesos;931.19;2021-09-09
1312;DÓLAR OBSERVADO;DOLAR;Pesos;787.51;2021-09-09
1313;TASA POLÍTICA MONETARIA (TPM);TPM;Porcentaje;1.5;2021-09-09
1314;INDICE DE PRECIOS AL CONSUMIDOR (IPC);IPC;Porcentaje;0.4;2021-08-01
1315;UNIDAD DE FOMENTO (UF);UF;Pesos;30124.43;2021-10-09
